dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap,
140,139,0,7506,1522,7506,2240,6811,2492,9730,3824,9591,3467,9313,4053,9730,4320,8896,4738,9730,4456,9591,4884,
150,149,0,9536,1072,8493,1882,10281,2712,9536,4173,10877,4336,11026,5002,11324,5863,11026,5624,11324,5513,9536,5004,
160,159,0,9699,1598,10176,3130,10653,2758,11289,3765,11925,4815,11448,6174,12402,6768,11607,5584,11766,6351,12084,6574,
170,169,0,12506,1554,14027,3372,14027,3220,13520,4922,13520,6896,12844,5458,13689,5892,13858,6479,13689,7323,14027,7110,
180,179,0,13425,1594,13604,3600,15215,5218,14678,5828,14857,6713,15036,6670,14857,6103,15394,8049,15752,8140,15573,8365,
190,189,0,17010,1520,14175,3294,17388,6110,17766,6196,15498,6446,17388,7061,16632,7245,16254,7993,17388,9287,17199,8181,
200,199,0,15323,1810,17910,3755,18308,6124,18507,7550,18308,7912,18507,9252,19502,8976,19502,8888,19104,10782,18905,10354,
210,209,0,20900,3354,20064,5442,17556,5368,20482,6641,21527,8674,20691,9388,21109,10158,20482,10624,20900,9913,20273,11298,
220,219,0,19491,2878,22557,5842,21681,6267,22557,7799,23433,10034,24090,9816,23214,11124,21900,11082,23433,11663,21681,12384,
230,229,0,24732,2861,21984,6110,25419,7566,23358,8636,24961,9810,25877,10633,25190,12053,24503,12060,26564,14403,24961,14001,
240,239,0,27963,3900,22705,5030,25812,9186,25334,11427,28680,10978,27724,12216,26290,11930,27246,13421,27485,13304,26051,13529,
250,249,0,25149,4120,24153,5816,28635,7866,29382,12072,29631,10820,29631,12967,29880,13717,28386,13798,29631,15865,30378,16498,
260,259,0,28231,3610,31857,6082,31339,9542,32116,11336,31080,12334,31598,14063,33411,14809,31339,15765,32375,16031,32375,17708,
270,269,0,26093,3096,33894,6712,33087,9092,34701,11531,31742,14602,34970,15066,34701,16396,36046,18652,35777,17126,34432,17430,
280,279,0,37386,5195,33201,6420,38502,12236,37107,15782,39060,15614,37665,16583,37665,18034,36828,17526,38223,18665,37944,20650,
290,289,0,35547,4850,35258,8810,39304,13087,38437,13583,39882,15810,40749,18508,40460,17922,38726,19383,41038,20803,40460,20582,
300,299,0,42159,5340,45149,8780,43355,13028,39767,14682,40365,16510,42458,17170,42757,20600,40365,20120,44551,21758,43355,21562,
310,309,0,35226,4984,46350,10846,42024,11472,40170,13552,45423,17268,42024,19678,46041,20346,45423,23179,45732,23311,45732,22014,
320,319,0,44022,5713,45617,11186,48807,12466,50721,21489,48807,16918,49445,21876,47850,22782,48807,22642,50402,25640,47850,25700,
330,329,0,52640,6678,50666,13814,49021,13956,51653,18676,51653,21881,51653,23872,50008,22205,53298,25577,53956,25271,51982,26523,
340,339,0,46443,7834,52545,12194,51189,14208,56274,21486,54579,21889,55596,23908,54579,26312,52206,28114,53223,24666,54240,26132,
350,349,0,50605,9904,58632,10238,56538,15868,52350,19019,57236,22974,56538,26653,57934,29996,59330,30951,59679,27519,61424,30492,
360,359,0,58876,9328,61748,15735,56363,17228,61030,20480,61389,25922,61389,25612,63184,28613,60312,31376,63184,30644,62825,32219,
370,369,0,62730,8708,59409,14558,66789,17664,66789,20786,61623,27826,67158,29150,66420,26715,64944,32079,64575,32003,60147,33527,
380,379,0,54955,10158,62156,16038,62535,18950,65188,25788,68978,28522,72010,33493,68599,30247,71631,33309,70494,34197,69357,34884,
390,389,0,60684,6706,66519,16640,70409,21498,68075,24663,71965,26022,73521,30530,72743,35033,68853,34308,74299,34495,74299,35348,
400,399,0,73416,10768,76608,16544,69027,19859,78204,30786,77805,33496,75810,33061,73017,34020,76209,38898,79002,38725,73416,37802,
410,409,0,70757,8438,77301,19751,73211,23335,72802,25118,82209,32122,80164,31932,81800,40563,80982,38254,82618,38694,83845,41316,
420,419,0,73744,9664,80867,16980,85476,26322,86733,31942,81286,36586,85476,38496,83800,40744,87571,40991,84219,43016,85057,43825,
430,429,0,76791,11958,81939,17899,88374,30480,84942,30511,90090,33133,85800,37166,90948,41256,88803,39940,89661,46152,89232,43095,
440,439,0,85605,12676,93507,22104,89556,25045,90873,34176,93068,37209,91312,38636,93507,38573,91312,40773,92629,46079,93946,45554,
450,449,0,87555,11660,85759,16812,94739,27831,101025,33678,97882,38496,95188,43280,97433,44470,93841,47255,98780,50046,100576,47777,
460,459,0,103275,13678,93177,25156,98226,32484,101898,35630,103734,43763,100062,40658,99144,47488,102357,46770,98685,48654,104193,52172,
470,469,0,106932,15194,104118,20506,104118,33260,107401,37227,101304,39812,103180,48188,101773,48444,106463,48041,106463,52994,106932,54169,
480,479,0,92447,11590,113044,24948,109691,33524,112086,40726,108733,45708,109212,46777,111607,49708,111128,55656,114481,55180,114481,56322,
490,489,0,106113,15766,117360,26487,113448,35572,115893,41220,119316,47102,112959,50490,118338,56356,117360,56170,115404,55626,115893,58110,
