dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap
710,709,0,64089,31762,116025,57814,135067,67390,137607,68692,202953,101502,203915,102020,226181,113248,230501,115456,237761,119172,246811,123766
720,719,0,62711,31060,104783,52176,134747,67208,167117,83470,197373,98710,221759,110960,219751,110024,233931,117188,256043,128306,250317,125526
730,729,0,53915,26654,97847,48702,153025,76382,180179,90004,205913,102948,221273,110704,219419,109844,248309,124366,245573,123084,256543,128644
740,739,0,61749,30582,113013,56282,159225,79466,179351,89598,205825,102922,218321,109208,250579,125454,260857,130660,264763,132682,252621,126688
750,749,0,59805,29598,107757,53652,148327,74012,197333,98608,211341,105672,229341,114738,240907,120604,250389,125438,256833,128712,277519,139142
760,759,0,65509,32458,123007,61272,164643,82172,206123,102966,219315,109688,237169,118662,247459,123876,272079,136292,263757,132184,289347,145062
770,769,0,67641,33510,120713,60126,156575,78128,199303,99596,228363,114204,241315,120732,259179,129748,267633,134070,286907,143768,286699,143740
780,779,0,77705,38552,132839,66204,178153,88922,202813,101348,226889,113460,249583,124880,249351,124802,277705,139088,282609,141620,292197,146496
790,789,0,62877,31112,130439,64978,168599,84144,205161,102486,231239,115626,267283,133714,290387,145378,293607,147032,285423,143038,294631,147716
800,799,0,80901,40136,144473,71998,191479,95594,210269,105054,240341,120194,261135,130674,286381,143352,303739,152098,304899,152782,302465,151640
810,809,0,75269,37306,140697,70110,172987,86342,216833,108348,250095,125044,277823,139010,285259,142814,301049,150766,320901,160788,325291,163056
820,819,0,79025,39194,146067,72786,177245,88464,232363,116118,243675,121828,286087,143150,280245,140278,309081,154794,310471,155588,315439,158134
830,829,0,82705,41016,153003,76280,190239,94950,215019,107404,268663,134326,285265,142714,302867,151596,319137,159814,335515,168082,327121,163984
840,839,0,80837,40086,158495,78992,189071,94356,223461,111650,266649,133320,299821,149994,318037,159192,316737,158624,335553,168130,344665,172756
850,849,0,91445,45378,159029,79258,205971,102818,244531,122176,281337,140670,305615,152898,297169,148742,339413,169962,350115,175412,345691,173278
860,859,0,98715,49020,151369,75426,209179,104418,257621,128742,288563,144280,297821,148982,311479,155912,347431,173976,363033,181878,363687,182278
870,869,0,81109,40208,153281,76370,209173,104414,251593,125704,285563,142790,337179,168714,329373,164866,346215,173386,347379,174042,372345,186612
880,879,0,88383,43834,158751,79100,204981,102328,258589,129196,304037,152020,322149,161158,354123,177234,346141,173298,357197,178950,382011,191454
890,889,0,115645,57480,173373,86430,243521,121600,264183,132006,328925,164474,343803,171968,324955,162662,350107,175330,374625,187678,371603,186250
900,899,0,82969,41124,178021,88764,220511,110062,284339,142086,312461,156218,349387,174786,369801,185074,378805,189688,388647,194680,405723,203318
910,909,0,103263,51282,166863,83156,232205,115904,303303,151586,325941,162996,350443,175312,347191,173770,376337,188436,396257,198500,396641,198784
920,919,0,96745,48012,189997,94738,234063,116846,272841,136312,303523,151766,333339,166746,371713,186038,386845,193712,382171,191468,413919,207426
930,929,0,97619,48438,167491,83478,255435,127532,281819,140828,317995,158976,372397,186298,359601,179980,381569,191078,427289,214030,405551,203250
940,939,0,112771,56018,195447,97444,265697,132670,300655,150240,328705,164348,359811,180010,378393,189416,403277,201924,425507,213134,440313,220632
950,949,0,88163,43688,183035,91230,266807,133224,330239,165034,324587,162282,407853,204032,385925,193154,419413,210004,418371,209566,422799,211882
960,959,0,115605,57422,196673,98056,249107,124338,320849,160348,339881,169936,378435,189310,404015,202184,426475,213522,432703,216736,442477,221722
970,969,0,109675,54450,209983,104718,278155,138870,328839,164342,349931,174948,387471,193848,410359,205372,407937,204248,425657,213224,449885,225434
980,979,0,116289,57762,186917,93158,263377,131500,316095,157944,361159,180546,382859,191506,438165,219290,451879,226232,440229,220496,466481,233738
990,989,0,100581,49890,201505,100446,276547,138094,342849,171344,362207,181120,399669,199930,440627,220508,441417,221006,470273,235520,468285,234644
1000,999,0,135159,67190,225295,112360,282953,141270,312375,156076,374537,187262,433155,216712,443109,221744,464273,232460,458989,229890,483503,242260
