dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap,
610,92720,0,92720,19857,92720,31156,92720,40860,92720,55234,92720,52743,92720,59886,92720,62897,92720,65953,92720,68381,92720,67698,
620,95790,0,95790,15459,95790,37050,95790,42665,95790,50310,95790,61529,95790,63514,95790,62768,95790,69218,95790,68945,95790,70566,
630,98910,0,98910,19853,98910,40354,98910,48599,98910,55789,98910,62280,98910,61356,98910,68012,98910,70817,98910,73670,98910,72507,
640,102080,0,102080,19016,102080,33901,102080,53197,102080,55309,102080,62272,102080,70488,102080,69058,102080,71065,102080,73249,102080,70999,
650,105300,0,105300,20573,105300,40610,105300,49313,105300,59881,105300,68423,105300,70900,105300,72466,105300,75660,105300,78022,105300,73581,
660,108570,0,108570,22454,108570,38976,108570,48910,108570,59646,108570,64156,108570,70961,108570,75763,108570,77557,108570,77558,108570,80374,
670,111890,0,111890,30166,111890,41417,111890,53471,111890,64088,111890,68847,111890,73265,111890,74515,111890,77343,111890,78773,111890,82615,
680,115260,0,115260,21777,115260,41182,115260,55693,115260,67448,115260,70958,115260,75658,115260,78607,115260,82523,115260,83300,115260,84321,
690,118680,0,118680,26633,118680,45997,118680,54777,118680,64929,118680,73657,118680,83422,118680,78703,118680,81400,118680,85322,118680,85313,
700,122150,0,122150,29504,122150,41088,122150,56202,122150,66653,122150,78140,122150,77601,122150,80960,122150,85224,122150,88503,122150,88650,
710,125670,0,125670,19687,125670,45318,125670,55885,125670,65328,125670,74176,125670,86220,125670,82157,125670,84450,125670,91869,125670,94376,
720,129240,0,129240,22768,129240,46139,129240,60922,129240,68125,129240,81163,129240,83349,129240,87250,129240,92534,129240,89893,129240,96559,
730,132860,0,132860,30421,132860,45084,132860,56754,132860,75934,132860,82757,132860,84670,132860,91940,132860,93946,132860,95400,132860,96708,
